AP09AB1234,2025-12-15 15:57:31,81.14,10.92,0.76,40005
AP09AB1234,2025-12-15 15:57:34,86.28,12.23,0.73,40009
AP09AB1234,2025-12-15 15:57:37,95.04,13.97,0.72,40013
AP09AB1234,2025-12-15 15:57:40,85.33,10.56,0.3,40018
AP09AB1234,2025-12-15 15:57:43,91.23,14.24,0.53,40020
AP09AB1234,2025-12-15 15:57:46,87.86,14.0,0.45,40022
AP09AB1234,2025-12-15 15:57:49,105.68,14.11,0.32,40026
AP09AB1234,2025-12-15 15:57:52,102.15,12.89,0.92,40030
AP09AB1234,2025-12-15 15:57:55,75.93,14.44,0.47,40031
AP09AB1234,2025-12-15 15:57:58,82.04,11.18,0.5,40036
AP09AB1234,2025-12-15 15:58:01,87.94,11.47,0.82,40041
AP09AB1234,2025-12-15 15:58:04,94.87,12.93,0.72,40045
AP09AB1234,2025-12-15 15:58:07,97.0,14.36,0.53,40048
AP09AB1234,2025-12-15 15:58:10,76.35,12.69,0.35,40052
AP09AB1234,2025-12-15 15:58:13,99.99,12.19,0.65,40054
AP09AB1234,2025-12-15 15:58:16,89.59,11.98,0.42,40057
AP09AB1234,2025-12-15 15:58:19,75.54,12.7,0.81,40059
AP09AB1234,2025-12-15 15:58:22,78.2,11.67,0.55,40062
AP09AB1234,2025-12-15 15:58:25,93.45,13.83,0.98,40067
AP09AB1234,2025-12-15 15:58:28,78.03,13.59,0.98,40072
AP09AB1234,2025-12-15 15:58:31,75.32,11.97,0.83,40073
AP09AB1234,2025-12-15 15:58:34,91.93,11.47,0.26,40076
AP09AB1234,2025-12-15 15:58:37,98.06,10.61,0.47,40079
AP09AB1234,2025-12-15 15:58:40,95.66,13.89,0.99,40082
AP09AB1234,2025-12-15 15:58:43,97.76,11.9,0.68,40083
AP09AB1234,2025-12-15 15:58:46,80.13,12.26,0.67,40087
AP09AB1234,2025-12-15 15:58:49,99.09,12.1,0.53,40090
AP09AB1234,2025-12-15 15:58:52,81.88,10.75,0.77,40094
AP09AB1234,2025-12-15 15:58:55,107.09,11.62,0.26,40096
AP09AB1234,2025-12-15 15:58:58,103.42,11.09,0.44,40097
AP09AB1234,2025-12-15 15:59:01,109.14,12.42,0.6,40102
AP09AB1234,2025-12-15 15:59:04,98.18,11.3,0.62,40105
AP09AB1234,2025-12-15 15:59:07,98.43,12.99,0.69,40108
AP09AB1234,2025-12-15 15:59:10,75.58,13.68,0.58,40112
AP09AB1234,2025-12-15 15:59:13,92.82,14.1,0.71,40113
AP09AB1234,2025-12-15 15:59:16,98.17,13.58,0.27,40115
AP09AB1234,2025-12-15 15:59:19,87.56,11.54,0.33,40118
AP09AB1234,2025-12-15 15:59:22,89.82,10.62,0.91,40121
AP09AB1234,2025-12-15 15:59:25,101.48,11.06,0.46,40126
AP09AB1234,2025-12-15 15:59:28,92.89,13.24,0.63,40128
AP09AB1234,2025-12-15 15:59:31,95.17,10.61,0.35,40133
AP09AB1234,2025-12-15 15:59:34,102.83,13.86,0.57,40136
AP09AB1234,2025-12-15 15:59:37,92.0,11.72,0.7,40139
AP09AB1234,2025-12-15 15:59:40,82.58,11.48,0.31,40144
AP09AB1234,2025-12-15 15:59:43,89.68,14.36,0.31,40149
AP09AB1234,2025-12-15 15:59:46,98.03,10.97,0.56,40151
AP09AB1234,2025-12-15 15:59:49,89.01,10.77,0.29,40155
AP09AB1234,2025-12-15 15:59:52,75.48,10.67,0.77,40156
AP09AB1234,2025-12-15 15:59:55,77.82,12.75,0.74,40160
AP09AB1234,2025-12-15 15:59:58,106.35,14.12,0.3,40164
AP09AB1234,2025-12-15 16:00:01,102.61,12.45,0.31,40166
AP09AB1234,2025-12-15 16:00:04,100.07,11.76,0.23,40169
AP09AB1234,2025-12-15 16:00:07,83.87,12.11,0.3,40172
AP09AB1234,2025-12-15 16:00:10,100.07,13.65,0.25,40177
